sample	dir	lane	rep	fq1	fq2
UF_Derv_011_AGTCAA	Sample_UF_Derv_011	L008	001	UF_Derv_011_AGTCAA_L008_R1_001.fastq.gz	UF_Derv_011_AGTCAA_L008_R2_001.fastq.gz
UF_Derv_011_AGTCAA	Sample_UF_Derv_011	L008	002	UF_Derv_011_AGTCAA_L008_R1_002.fastq.gz	UF_Derv_011_AGTCAA_L008_R2_002.fastq.gz
UF_Derv_011_AGTCAA	Sample_UF_Derv_011	L008	003	UF_Derv_011_AGTCAA_L008_R1_003.fastq.gz	UF_Derv_011_AGTCAA_L008_R2_003.fastq.gz
UF_Derv_012_AGTTCC	Sample_UF_Derv_012	L007	001	UF_Derv_012_AGTTCC_L007_R1_001.fastq.gz	UF_Derv_012_AGTTCC_L007_R2_001.fastq.gz
UF_Derv_012_AGTTCC	Sample_UF_Derv_012	L007	002	UF_Derv_012_AGTTCC_L007_R1_002.fastq.gz	UF_Derv_012_AGTTCC_L007_R2_002.fastq.gz
UF_Derv_012_AGTTCC	Sample_UF_Derv_012	L007	003	UF_Derv_012_AGTTCC_L007_R1_003.fastq.gz	UF_Derv_012_AGTTCC_L007_R2_003.fastq.gz
UF_Derv_012_AGTTCC	Sample_UF_Derv_012	L007	004	UF_Derv_012_AGTTCC_L007_R1_004.fastq.gz	UF_Derv_012_AGTTCC_L007_R2_004.fastq.gz
UF_Derv_012_AGTTCC	Sample_UF_Derv_012	L008	001	UF_Derv_012_AGTTCC_L008_R1_001.fastq.gz	UF_Derv_012_AGTTCC_L008_R2_001.fastq.gz
UF_Derv_012_AGTTCC	Sample_UF_Derv_012	L008	002	UF_Derv_012_AGTTCC_L008_R1_002.fastq.gz	UF_Derv_012_AGTTCC_L008_R2_002.fastq.gz
UF_Derv_012_AGTTCC	Sample_UF_Derv_012	L008	003	UF_Derv_012_AGTTCC_L008_R1_003.fastq.gz	UF_Derv_012_AGTTCC_L008_R2_003.fastq.gz
